OBJECTID,Identificador del parque,Estrato,UPZ,Localidad,Estado Certificación,Clasificación del Parque,Nombre del Parque,Administración del Parque,Código Localidad,Código POT,coord_x,coord_y
2319,13-150,4,109,Teusaquillo,CERTIFICADO,Vecinal,URBANIZACIÓN LOS CAMBULOS,,13,,"-74,105374020885","4,640944594796433"
2323,19-414,1,67,Ciudad Bolivar,CERTIFICADO,Bolsillo,URBANIZACIÓN COMPARTIR,,19,,"-74,14783533710478","4,557583741177039"
2327,10-054,3,30,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN SAN JOSÉ DE LA GRANJA,,10,,"-74,0985818415046","4,696008617532892"
2328,10-192,3,30,Engativa,CERTIFICADO,Zonal Existente,TABORA,IDRD,10,PZ26,"-74,09730689541036","4,69331490600306"
2333,10-060,3,30,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN LA CLARITA II SECTOR,,10,,"-74,10603758662242","4,6927887956588155"
2354,10-274,3,73,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN VILLAS DE GRANADA,,10,,"-74,12464153131567","4,716381673216953"
2357,10-042,3,73,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN GARCÉS NAVAS,,10,,"-74,11972523771698","4,7130558261517885"
2359,10-174,3,72,Engativa,CERTIFICADO,Vecinal,CIUDADELA COLSUBSIDIO,,10,,"-74,1074795537825","4,7222916725836654"
2362,10-287,3,72,Engativa,CERTIFICADO,Vecinal,"URBANIZACIÓN CIUDADELA COLSUBSIDIO SECTORES II, III IV Y V",,10,,"-74,11188700477337","4,722174188642798"
2369,10-408,3,31,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN LOS MONJES,,10,,"-74,1154345987049","4,680892838341605"
2370,10-011,2,29,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN BACHUÉ I ETAPA,,10,,"-74,10310954592015","4,715824612138045"
2373,10-114,3,26,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN BOSQUE POPULAR,,10,,"-74,09854218986797","4,670118105829243"
2377,05-445,1,57,Usme,CERTIFICADO,Bolsillo,YOPAL,,5,,"-74,11476869779688","4,521276217175522"
2380,08-701,2,45,Kennedy,INVESTIGADO NO CERTIFICADO,Vecinal,ALKOSTO VENECIA,,8,,"-74,13951671344417","4,595865280231456"
2384,10-066,2,74,Engativa,CERTIFICADO,Bolsillo,ÁLAMOS ALAMEDA,,10,,"-74,12556450131194","4,697862183278061"
2390,11-915,2,28,Suba,CERTIFICADO,Bolsillo,DESARROLLO CIUDAD DE HUNZA,,11,,"-74,08434446188036","4,720907860650621"
2394,10-029,2,74,Engativa,CERTIFICADO,Vecinal,VILLA AMALIA- ARBORIJABOQUE,,10,,"-74,12750730439572","4,711046836767219"
2399,10-152,3,29,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN LA ESPAÑOLA,,10,,"-74,0960478616239","4,705376675525386"
2401,11-903,3,19,Suba,CERTIFICADO,Bolsillo,AGRUPACIÓN DE VIVIENDA MULTIFAMILIAR NEPTUNO II,,11,,"-74,05895707347372","4,718885766286881"
2403,09-304,3,75,Fontibon,CERTIFICADO,Bolsillo,EL PEDREGAL,,9,,"-74,14899213317959","4,684593060243977"
2405,10-056,2,74,Engativa,CERTIFICADO,Vecinal,DESARROLLO EL DORADO SAN ANTONIO,,10,,"-74,12510691612503","4,703352333517761"
2409,10-173,2,29,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN CIUDAD BACHUÉ II SEGUNDA ETAPA,,10,,"-74,10830938824671","4,709138289836757"
2414,10-341,3,29,Engativa,CERTIFICADO,Bolsillo,URBANIZACIÓN QUIRIGUA,,10,,"-74,10660752005948","4,707311731095164"
