"dgrid","Fecha","accidentes","Clas.Final","TemporadaTrafico","Eventos.Especiales","DiaMes","T_Med","T_Max","T_Min","Hum_Rel_Med","Prec_Tot","Vis_Med","Vel_Med_Viento","Vel_Max_S_Viento","Vel_Max_Raf_Viento","Ind_Lluvia","Ind_Nieve","Ind_Tormenta","Ind_Niebla","semaf_count_d","colegios_count_d","paraderos_count_d","parques_count_d","estaciones_count_d","viasprincipales_count_d","viassecudarias_count_d","viviendas_count_d","hogares_count_d","personas_count_d","comercial_count_d","lotes_count_d"
47,"2014-05-28",4,"Habil","Normal Trafico","No",28,13.4,19,9,79,2.03,10.8,8.5,18.3,0,0,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-06-28",2,"Sabado","Bajo Trafico","Partido Colombia",28,12.8,18.8,9.9,74,0.51,11.4,8.7,18.3,0,1,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-07-28",3,"Habil","Moderado Trafico","No",28,14.7,20,10,62,0,12.7,16.7,37,0,0,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-08-28",2,"Habil","Normal Trafico","No",28,12.9,18,6.5,76,0,10.9,10.9,31.7,0,1,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-09-28",3,"DomingoFestivo","Normal Trafico","No",28,13.7,24,7.8,67,NA,11.7,12.8,35.9,0,1,0,1,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-11-28",5,"VisperaDescanso","Normal Trafico","No",28,13.2,21,7,74,5.08,10.3,9.3,22.2,0,0,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-12-28",1,"DomingoFestivo","Bajo Trafico","No",28,13.1,21.9,5.8,67,0,12.4,12.2,22.2,40.7,0,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-01-29",3,"Habil","Normal Trafico","No",29,14.2,20,7.7,75,0.76,10.3,10.4,22.2,0,1,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-03-29",3,"Sabado","Normal Trafico","No",29,13.1,22,4,73,0,7.9,10,25.9,0,0,0,0,1,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-04-29",5,"Habil","Normal Trafico","No",29,14.7,20.9,11,74,5.08,11.1,10,18.3,0,1,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-05-29",3,"Habil","Normal Trafico","No",29,14.8,19.8,10.6,74,0.25,10.8,8,16.5,0,1,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-06-29",2,"DomingoFestivo","Bajo Trafico","No",29,13.9,19,10,73,1.02,11.3,12,25.9,0,1,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-07-29",1,"Habil","Moderado Trafico","No",29,13.5,20,8,61,0,12.1,17,33.5,0,0,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-08-29",4,"VisperaDescanso","Normal Trafico","No",29,13.4,19,6.5,66,0,11.7,17.2,37,0,0,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-09-29",6,"Habil","Normal Trafico","No",29,13.9,19,9,61,0,12.1,12.6,25.9,0,0,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-10-29",5,"Habil","Normal Trafico","No",29,12.7,20,7.6,81,0,6.4,9.6,29.4,0,0,0,1,1,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-11-29",2,"Sabado","Moderado Trafico","No",29,13.6,20.5,8,72,0,13.8,9.3,22.2,0,0,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-12-29",3,"Habil","Bajo Trafico","No",29,12.4,20.4,4.9,61,0,11.7,11.9,24.1,0,0,0,0,1,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-01-30",3,"Habil","Normal Trafico","No",30,14.2,20,10,75,0,10.5,8.5,25.9,0,0,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-03-30",2,"DomingoFestivo","Normal Trafico","No",30,14.2,22.4,5.1,74,0,8,11.3,31.7,0,0,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-04-30",2,"VisperaDescanso","Normal Trafico","No",30,14.7,21,9.8,71,0.51,12.1,9.4,21.7,0,1,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-05-30",4,"VisperaDescanso","Normal Trafico","No",30,14.1,20,9,79,0,10.1,7.4,14.8,0,1,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-06-30",1,"FestivoEntreSemana","Bajo Trafico","No",30,12.7,18.5,8,78,0.76,12.1,9.6,18.3,0,1,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-07-30",6,"Habil","Moderado Trafico","No",30,13.7,19,8.8,69,0,12.2,14.6,27.8,0,0,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-08-30",4,"Sabado","Normal Trafico","No",30,12.4,20,1.6,56,0,12.6,15,27.8,0,0,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-09-30",4,"Habil","Normal Trafico","No",30,13.2,19.2,5,57,0,12.7,14.6,25.9,0,0,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-10-30",7,"Habil","Normal Trafico","No",30,13,20,6.8,80,0,8.5,8.5,18.3,0,0,0,1,1,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-11-30",2,"DomingoFestivo","Moderado Trafico","No",30,14.9,19.3,10.6,69,0,12.6,13,25.9,0,0,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-12-30",1,"Habil","Bajo Trafico","No",30,13.4,20.4,4,65,0,12.4,12.8,25.9,27.8,0,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-01-31",5,"VisperaDescanso","Normal Trafico","No",31,14.7,20.4,10,71,0,10,9.8,25.9,0,0,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-03-31",2,"Habil","Normal Trafico","No",31,13,20.7,4.9,74,0,8.5,9.6,24.1,0,0,0,0,1,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-05-31",3,"Sabado","Moderado Trafico","No",31,14.8,20.2,11.7,73,2.03,11.6,10.2,25.2,0,1,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-08-31",6,"DomingoFestivo","Normal Trafico","No",31,13.6,19.9,6.5,58,0,12.4,15.4,35.2,0,0,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-10-31",3,"VisperaDescanso","Normal Trafico","Halloween",31,14.4,19.2,9,75,0.25,9.7,8.5,22.2,0,1,0,0,1,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-12-31",2,"VisperaDescanso","Bajo Trafico","Año nuevo",31,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
48,"2014-10-01",1,"Habil","Normal Trafico","No",1,13.6,19.4,8,64,0,11.7,15.4,29.4,0,1,0,0,0,NA,12,63,40,0,NA,1721,11071,12165,49193,634,10096
48,"2014-08-02",1,"Sabado","Normal Trafico","No",2,13.8,17,11,72,NA,10,16.7,42.4,0,1,0,0,0,NA,12,63,40,0,NA,1721,11071,12165,49193,634,10096
48,"2014-08-03",1,"DomingoFestivo","Normal Trafico","No",3,12.7,18,9,70,0,10,13.5,37,0,0,0,0,0,NA,12,63,40,0,NA,1721,11071,12165,49193,634,10096
48,"2014-06-05",1,"Habil","Moderado Trafico","No",5,14.9,20,9.9,72,NA,11.6,11.5,29.4,0,1,0,0,0,NA,12,63,40,0,NA,1721,11071,12165,49193,634,10096
48,"2014-02-06",1,"Habil","Normal Trafico","No",6,13.6,20.2,7,71,NA,11.7,9.8,25.9,0,1,0,0,0,NA,12,63,40,0,NA,1721,11071,12165,49193,634,10096
48,"2014-01-07",1,"Habil","Bajo Trafico","No",7,13.4,18,10,85,1.02,8,7.6,18.3,0,1,0,0,0,NA,12,63,40,0,NA,1721,11071,12165,49193,634,10096
48,"2014-01-08",1,"Habil","Bajo Trafico","No",8,13.2,17.5,11,90,11.94,7.9,8.5,22.2,0,1,0,1,0,NA,12,63,40,0,NA,1721,11071,12165,49193,634,10096
48,"2014-03-08",1,"Sabado","Normal Trafico","No",8,14.1,20,10.5,81,11.94,9.2,9.1,29.4,0,1,0,0,0,NA,12,63,40,0,NA,1721,11071,12165,49193,634,10096
48,"2014-02-09",1,"DomingoFestivo","Normal Trafico","No",9,12.6,20,5.2,76,0,11.4,7.2,22.2,0,1,0,1,0,NA,12,63,40,0,NA,1721,11071,12165,49193,634,10096
